# Location: Camera-01 (Main St & 4th Ave)
# Format: TIMESTAMP | VEHICLE_COUNT | AVG_SPEED_KMH | CONGESTION_LEVEL
2023-10-10 06:00:00 | 15 | 45.2 | LOW
2023-10-10 07:00:00 | 45 | 38.5 | MEDIUM
2023-10-10 08:00:00 | 120 | 25.1 | HIGH
2023-10-10 09:00:00 | 95 | 30.0 | MEDIUM
2023-10-10 10:00:00 | 60 | 40.5 | MEDIUM
2023-10-10 11:00:00 | 50 | 42.1 | LOW
2023-10-10 12:00:00 | 80 | 35.5 | MEDIUM
2023-10-10 13:00:00 | 85 | 34.2 | MEDIUM
2023-10-10 14:00:00 | 75 | 36.8 | MEDIUM
2023-10-10 15:00:00 | 90 | 32.5 | MEDIUM
2023-10-10 16:00:00 | 110 | 28.0 | HIGH
2023-10-10 17:00:00 | 150 | 20.5 | HIGH
2023-10-10 18:00:00 | 135 | 22.8 | HIGH
2023-10-10 19:00:00 | 85 | 35.0 | MEDIUM
2023-10-10 20:00:00 | 40 | 44.0 | LOW
2023-10-10 21:00:00 | 25 | 48.5 | LOW
2023-10-10 22:00:00 | 10 | 50.2 | LOW
2023-10-10 23:00:00 | 5 | 52.0 | LOW
